1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
1980普莱西德湖冬奥会梅特，夺下第二枚金牌，成绩是多少分02秒29，也是奥运会新纪录？,7
1980普莱西德湖冬奥会海登囊括了全部多少个速滑项目的金牌，这在奥运会史上是独一无二的？,5
1980普莱西德湖冬奥会女子全部多少项冠军为荷兰、民主德国、挪威、苏联均分？,4
1980普莱西德湖冬奥会苏联自哪年参加奥运会冰球赛以来，曾5次夺魁，美国队于1960年也曾获一次冠军？,1956
1980普莱西德湖冬奥会这支美国历史上最年轻的冰球队在比分三度落后的不利形势下顽强奋战，结果以多少:3反败为胜？,4
1980普莱西德湖冬奥会本届苏联成绩仍继续领先，获金牌多少枚，银、铜牌各6枚；居第二位的民主德国队金牌比苏联少1枚，而银、铜牌却比后者各多1枚；东道主美国列第三，金、银、铜牌分别为6、4、2枚？,10
1984年萨拉热窝冬奥会是社会主义国家第几次举行？,第一次，也是唯一一次。
1984年萨拉热窝冬奥会击败了谁获得了第十四届冬奥会举办权？,日本的札幌和瑞典法伦/哥特堡
1984年萨拉热窝冬奥会的举办地点在哪？,南斯拉夫的萨拉热窝
1984年萨拉热窝冬奥会的历时多少天？,12天
1984年萨拉热窝冬奥会的志愿者有多少人？,10450人
1984年萨拉热窝冬奥会的参赛国有多少个？,49个（含地区）
1984年萨拉热窝冬奥会的吉祥物是哪个动物？,狼
1984年萨拉热窝冬奥会的举办是在什么时间？,1984年2月8～19日
1984年萨拉热窝冬奥会的参赛运动员有多少人？,1272人
1984年萨拉热窝冬奥会的参赛男运动员有多少人？,998人
1984年萨拉热窝冬奥会的参赛女运动员有多少人？,274人
1984年萨拉热窝冬奥会的新闻记者有多少人？,7393人
1984年萨拉热窝冬奥会的小项有多少？,39项
1984年萨拉热窝冬奥会的金牌榜第一位哪个国家？,民主德国
1984年萨拉热窝冬奥会冬奥会第几次有黑人选手参赛？,第一次
1984年萨拉热窝冬奥会由谁出席并宣布大会开幕？,前南斯拉夫联邦主席团主席米·什度利亚克
1984年萨拉热窝冬奥会这届冬奥会哪位运动员奋力拼搏，在10公里、5公里、20公里比赛中连续夺魁？,芬兰的“越野滑雪女王”海迈莱伊宁
1984年萨拉热窝冬奥会这届冬奥会哪位运动员是冬奥会滑雪史上第一个取得如此成就的女选手？,芬兰的“越野滑雪女王”海迈莱伊宁
1984年萨拉热窝冬奥会在越野滑雪比赛中，瑞典共获得了几枚金牌？,3枚金牌
1984年萨拉热窝冬奥会在越野滑雪比赛中，瑞典共获得了哪三项比赛项目的冠军？,15公里、50公里和接力赛
1984年萨拉热窝冬奥会除冰球外，获得了38枚金牌的全部选手平均年龄是多少岁？,仅23岁
1984年萨拉热窝冬奥会加拿大冰球队以几比几战胜上届冬奥会冠军美国队？,04:02:00
1984年萨拉热窝冬奥会加拿大冰球队是否获得了本届冰球冠军？,是
1984年萨拉热窝冬奥会东道主运动员弗兰柯在大回转比赛赢得一枚银牌，成为南斯拉夫历史第几位获得了冬奥会奖牌的运动员？,第一位
1984年萨拉热窝冬奥会恩克在哪两项赛事中两次夺冠？,速滑1000米和速滑1500米
1984年萨拉热窝冬奥会速滑项目唯一的新纪录是哪一项？,速滑1500米
1984年萨拉热窝冬奥会恩克以多少的成绩创造了速滑1500米世界纪录？,2分03秒42
1984年萨拉热窝冬奥会本届比赛项目增加了1项女子20公里越野滑雪，使原先的38个单项增至多少个？,39
1984年萨拉热窝冬奥会第十四届冬奥会于2月8日下午2时半正式开幕。多少名观众冒雪参加了开幕式？,55000
1984年萨拉热窝冬奥会前民主德国在本届的女子速滑中取得了空前的成绩，包下了全部多少项冠军？,4
1984年萨拉热窝冬奥会安德烈亚·舍内获哪个比赛项目金牌？,速滑3000米
1984年萨拉热窝冬奥会克里斯塔·罗腾布格尔获哪个比赛项目金牌？,速滑500米
1984年萨拉热窝冬奥会尼古拉·齐米亚托夫这次只获多少公里赛金牌？,30
1984年萨拉热窝冬奥会女子速滑取得了较好成绩，民主德国选手包揽了全部多少项冠军？,4
1984年萨拉热窝冬奥会在越野滑雪比赛中，瑞典共获得15公里、50公里和接力赛多少枚金牌？,3
1984年萨拉热窝冬奥会前两届奥运会成绩不佳，仅分别获第22和多少名？,28
1984年萨拉热窝冬奥会除冰球外，获得38枚金牌的全部选手平均年龄仅多少岁？,23
1984年萨拉热窝冬奥会现代冬季两项等多少个项目的比赛？,5
1984年萨拉热窝冬奥会哪年世界杯滑雪赛等)闻名于世界体坛？,1983
1984年萨拉热窝冬奥会本届比赛项目增加了多少项女子20公里越野滑雪，使原先的38个单项增至39个？,1
1984年萨拉热窝冬奥会开幕式上，由前南斯拉夫女子花样滑冰冠军，多少岁的桑·杜布拉夫奇克点燃了主体育场火焰？,21
1984年萨拉热窝冬奥会在10000米比赛中，马尔科夫战胜了古斯塔夫松获得了第几名？,第一名
1984年萨拉热窝冬奥会鲍彻在哪两项赛事中战胜了世界纪录保持者前苏联的谢尔盖·赫列布尼科，获两项金牌？,1000米，1500米速滑比赛
1984年萨拉热窝冬奥会尼古拉·齐米亚托夫这次只获哪一项赛事金牌？,越野滑雪30公里
1984年萨拉热窝冬奥会哪个项目是首次被列为比赛项目出现的？,20公里滑雪赛
1984年萨拉热窝冬奥会哪位运动员在滑雪10公里赛中获金牌？,利萨·海曼莱宁
1984年萨拉热窝冬奥会20公里滑雪赛史上第一个金牌获得者是谁？,利萨·海曼莱宁
1984年萨拉热窝冬奥会哪位运动员在滑雪5公里赛中夺冠？,利萨·海曼莱宁
1984年萨拉热窝冬奥会运动员利萨·海曼莱宁共获得了多少奖牌？,3枚金牌和1枚铜牌
1984年萨拉热窝冬奥会在越野滑雪比赛中，瑞典共获得哪项的3枚金牌？,15公里、50公里和接力赛
1984年萨拉热窝冬奥会她已年满多少岁，但身体素质好，意志顽强？,28
1984年萨拉热窝冬奥会美国在男子快速降下、小回转和女子大回转中夺标，共获多少枚金牌？,3
1984年萨拉热窝冬奥会本届冬奥会期间，国际奥委会于萨拉热窝举行了第多少次全会？,87
1984年萨拉热窝冬奥会本届冬奥会期间，国际奥委会决定自下届起会期延长几天？,4天
1984年萨拉热窝冬奥会本届冬奥会期间，国际奥委会决定将哪几项赛事列为下届表演项目？,冰壶、技巧滑雪和短道速滑
1984年萨拉热窝冬奥会除冰球外，获得多少枚金牌的全部选手平均年龄仅23岁？,38
1984年萨拉热窝冬奥会奖牌榜第一是谁？,民主德国
1984年萨拉热窝冬奥会民主德国获得多少枚金牌？,9
1984年萨拉热窝冬奥会民主德国获得多少枚银牌？,9
1984年萨拉热窝冬奥会民主德国获得多少枚铜牌？,6
1984年萨拉热窝冬奥会奖牌榜第二是谁？,苏联
1984年萨拉热窝冬奥会奖牌榜第三是谁？,美国
1984年萨拉热窝冬奥会中国排在第几位？,23位
1984年萨拉热窝冬奥会中国得团体总分多少分？,5
1984年萨拉热窝冬奥会萨拉热窝建于多少年，是南斯拉夫波斯尼亚--黑塞哥维那共和国首府？,1263
1988年卡尔加里冬奥会的中文名是第几届冬奥会？,第十五届
1988年卡尔加里冬奥会的举办在什么时间？,1988年2月13～28日
1988年卡尔加里冬奥会的参赛国家有多少？,57个
1988年卡尔加里冬奥会的志愿者人数有多少？,9498人
1988年卡尔加里冬奥会的历时多少天？,16天
1988年卡尔加里冬奥会的举办城市在哪？,加拿大卡尔加里
1988年卡尔加里冬奥会的参赛运动员有多少？,1423人
1988年卡尔加里冬奥会的参赛男运动员有多少？,1110人
1988年卡尔加里冬奥会的参赛女运动员有多少？,313人
1988年卡尔加里冬奥会的新闻记者有多少人？,6838人
1988年卡尔加里冬奥会冬奥会的除卡尔加里外，还有哪些城市？,瑞典的法伦、意大利的科蒂纳丹佩佐
1988年卡尔加里冬奥会奖牌正面是单线条勾勒的一片雪花，并刻有哪些字样？,第十五届冬奥会卡尔加里1988的英法文字样
1988年卡尔加里冬奥会冬奥会史上的一次盛会，共有多少国家参加？,57个国家
1988年卡尔加里冬奥会冬奥会史上的一次盛会，共有多少运动员参加？,1759名运动员参加
1988年卡尔加里冬奥会先后发行20元纪念银币10枚，100元金币1枚，几乎包括了哪个大项目？,冰上运动项目
1988年卡尔加里冬奥会卡尔加里在为期6年的筹备工作中，兴建了许多运动场馆与设施，最令人称道的是为本届冬奥会特地建成的奥林匹克椭圆馆，它是世界上第一个有几百米速滑道的全封闭场馆？,400米
1988年卡尔加里冬奥会奥林匹克公园内有跳台和人工制冷冰道，哪项比赛在这进行？,雪橇和跳台赛
1988年卡尔加里冬奥会参加本届冬奥会的有56个国家和地区的1759名运动员，其中女选手有什么？,313名
1988年卡尔加里冬奥会雪车、雪橇两项又未开展，因此，中国仅派出一行20人的代表团，参加哪三个比赛项目的竞争？,速滑、花样滑冰、越野滑雪
1988年卡尔加里冬奥会中国20人的代表团参加的三项比赛项目共竞争多少枚金牌？,18枚
1988年卡尔加里冬奥会冬奥会有多少正式的比赛项目？,10个正式比赛项目
1988年卡尔加里冬奥会表演项目有哪些？,冰壶、自由式滑雪和短道速滑
1988年卡尔加里冬奥会运动员宣誓，开幕式上还进行了哪个省的表演？,艾尔伯塔省
1988年卡尔加里冬奥会在越野滑雪赛中，女子5公里越野滑雪的金牌被哪位运动员夺得？,芬兰的迈提卡宁
1988年卡尔加里冬奥会在越野滑雪赛中，前苏联囊括了男子50公里越野滑雪的前几名？,前两名
1988年卡尔加里冬奥会在越野滑雪赛中，前苏联囊括了女子10公里越野滑雪的前几名？,前两名
1988年卡尔加里冬奥会在越野滑雪赛中，前苏联囊括了女子20公里越野滑雪的前几名？,前三名
1988年卡尔加里冬奥会奥运会的比赛项目增加到了49项，新增的项目包括哪些项目？,包括了超级大回转和冬季两项
1988年卡尔加里冬奥会哪位运动员在跳台滑雪比赛夺得3面金牌包括了一枚新增加的团体项目金牌？,芬兰滑雪运动员尼凯宁
1988年卡尔加里冬奥会芬兰滑雪运动员尼凯宁在跳台滑雪比赛夺得几面金牌？,3枚
1988年卡尔加里冬奥会谁宣布冬奥会开幕？,索维夫人
1988年卡尔加里冬奥会荷兰女选手亨尼普在速滑中击败民主德国劲旅，获得了几枚金牌？,3枚金牌
1988年卡尔加里冬奥会荷兰女选手亨尼普在速滑中获得了哪三项比赛项目的金牌？,1500米，3000米和5000米
1988年卡尔加里冬奥会荷兰女选手亨尼普在速滑中打破了哪个项目的奥运会记录？,1500米
1988年卡尔加里冬奥会荷兰女选手亨尼普在速滑中打破了哪个项目的世界纪录？,3000米
1988年卡尔加里冬奥会哪位运动员成了本届冬奥会的风云人物？,荷兰女选手亨尼普
1988年卡尔加里冬奥会速滑比赛第一次由室外转入馆内，是冬奥会发展的标志之一吗？,是
1988年卡尔加里冬奥会前苏联则蝉联冰球冠军，是第多少次获世界冠军的称号？,21次
为什么1988年卡尔加里冬奥会，中国仅派出一行20人的代表团，参加速滑、花样滑冰、越野滑雪3项有18枚金牌的竞争？,因为雪车、雪橇两项又未开展，
1988年卡尔加里冬奥会的本届冬奥会的比赛设施是否堪称一流？,是
1988年卡尔加里冬奥会芬兰的尼凯宁以多少分获男子70米跳台滑雪冠军？,229.1分
1988年卡尔加里冬奥会的芬兰的尼凯宁在获跳台滑雪冠军后，又在哪个项目获金牌？,90米跳台滑雪
1988年卡尔加里冬奥会的芬兰的尼凯宁是否被人们称为不可战胜的芬兰人？,是
1988年卡尔加里冬奥会的国际奥委会主席萨马兰奇在哪个环节时称为赞本届冬奥会是历史上最成功的一次，并授予金质奥林匹克运动奖章？,在致闭幕词时
1988年卡尔加里冬奥会哈维代表谁宣誓？,运动员
1988年卡尔加里冬奥会加拿大卡尔加里举行，加拿大发行了多少套邮票，图案均为比赛项目，但比较别致的是邮票采用了马赛克式的构图手法？,5套
1988年卡尔加里冬奥会托马斯之间进行的，她们都选用了哪个歌剧中的乐曲？,歌剧《卡门》
1988年卡尔加里冬奥会卡尔加里曾于什么时候两次申办，这次才如愿以偿。卡尔加里在为期6年的筹备工作中，兴建了许多运动场馆与设施？,1964和1968年
1988年卡尔加里冬奥会如：圣马力诺多少里拉银币？,500
1988年卡尔加里冬奥会卡尔加里在为期6年的筹备工作中，兴建了许多运动场馆与设施，最令人称道的是为本届冬奥会特地建成的奥林匹克椭圆馆，它是世界上第一个有多少米速滑道的全封闭场馆？,400
1988年卡尔加里冬奥会奥运村可安排多少人食宿？,2600
1988年卡尔加里冬奥会参加本届冬奥会的有56个国家和地区的1759名运动员，其中男选手有多少名？,1446
1988年卡尔加里冬奥会雪车、雪橇两项又未开展，因此，中国仅派出一行20人的代表团，参加速滑、花样滑冰、越野滑雪3项有多少枚金牌的竞争？,18
